br_class,mode,case_id,z1,z2,z3,rdx,rdy,rdz,cgx,cgy,cgz,devx,devy,devz,placed,unplaced,elapsed,timestamp_utc,run_id
BR0,six_way,1,0.929757,0.0,4.6667,3.2258,2.1459,1.8182,285.0,114.0,108.0,9.5,2.5,2.0,114,8,0.008237,2026-01-03T20:34:09.720256Z,20260103_203409.720256_seed0_six_way
BR0,six_way,3,0.843156,0.0,8.2667,1.1885,11.9313,6.7273,291.0,102.6,102.6,3.5,13.9,7.4,120,21,0.002592,2026-01-03T20:49:06.265353Z,20260103_204906.265353_seed0_six_way
BR0,six_way,4,0.909026,0.0,5.2292,1.6044,3.53,6.2273,289.775,112.3875,103.15,4.725,4.1125,6.85,80,7,0.005099,2026-01-03T20:49:12.017330Z,20260103_204912.017330_seed0_six_way
BR0,six_way,5,0.93302,0.0,3.8772,1.0209,3.682,3.9414,291.4934,112.2105,105.6645,3.0066,4.2895,4.3355,152,10,0.030468,2026-01-03T20:49:37.622150Z,20260103_204937.622150_seed0_six_way
BR0,six_way,6,0.882897,0.0,7.3537,1.9587,7.0135,7.3836,288.7317,108.3293,101.878,5.7683,8.1707,8.122,82,10,0.002583,2026-01-03T20:49:40.780984Z,20260103_204940.780984_seed0_six_way
BR0,six_way,7,0.787327,0.0,15.1267,8.4211,14.6438,3.2,269.7,99.44,106.48,24.8,17.06,3.52,50,13,0.001279,2026-01-03T20:49:42.912430Z,20260103_204942.912430_seed0_six_way
BR0,six_way,8,0.911577,0.0,4.1441,1.4607,1.7477,5.5405,290.1982,114.464,103.9054,4.3018,2.036,6.0946,111,10,0.003239,2026-01-03T20:49:46.875652Z,20260103_204946.875652_seed0_six_way
BR0,six_way,9,0.709873,0.0,14.1667,3.7351,22.7468,4.5455,283.5,90.0,105.0,11.0,26.5,5.0,54,21,0.002077,2026-01-03T20:49:48.901873Z,20260103_204948.901873_seed0_six_way
BR0,six_way,10,0.898577,0.0,4.8487,0.9403,2.9251,7.6084,291.7308,113.0923,101.6308,2.7692,3.4077,8.3692,195,21,0.009821,2026-01-03T20:50:02.604295Z,20260103_205002.604295_seed0_six_way
BR0,six_way,11,0.762945,0.0,11.6667,3.7351,4.721,16.8182,283.5,111.0,91.5,11.0,5.5,18.5,81,24,0.002196,2026-01-03T20:50:05.753808Z,20260103_205005.753808_seed0_six_way
BR0,six_way,12,0.860886,0.0,9.0333,3.2258,7.9828,7.5455,285.0,107.2,101.7,9.5,9.3,8.3,60,9,0.001,2026-01-03T20:50:07.543414Z,20260103_205007.543414_seed0_six_way
BR0,six_way,13,0.954845,0.0,3.4048,2.6459,0.34,1.8418,286.7078,116.1039,107.974,7.7922,0.3961,2.026,616,26,0.386413,2026-01-03T20:56:12.935115Z,20260103_205612.935115_seed0_six_way
BR0,six_way,14,0.871347,0.0,6.0949,0.9403,5.8171,7.9441,291.7308,109.7231,101.2615,2.7692,6.7769,8.7385,260,37,0.016156,2026-01-03T20:56:32.016642Z,20260103_205632.016642_seed0_six_way
BR0,six_way,15,0.916662,0.0,6.2549,3.3656,5.8319,1.8717,284.5882,109.7059,107.9412,9.9118,6.7941,2.0588,170,14,0.013755,2026-01-03T20:56:45.789420Z,20260103_205645.789420_seed0_six_way
BR0,six_way,16,0.833164,0.0,7.0,0.6791,7.7253,9.0909,292.5,107.5,100.0,2.0,9.0,10.0,375,73,0.056018,2026-01-03T20:57:43.251083Z,20260103_205743.251083_seed0_six_way
