br_class,mode,n,mean_Z1,median_Z1,std_Z1,min_Z1,max_Z1,mean_Z2,median_Z2,std_Z2,min_Z2,max_Z2,mean_Z3,median_Z3,std_Z3,min_Z3,max_Z3,mean_RDx,median_RDx,std_RDx,min_RDx,max_RDx,mean_RDy,median_RDy,std_RDy,min_RDy,max_RDy,mean_RDz,median_RDz,std_RDz,min_RDz,max_RDz,mean_unplaced,median_unplaced,std_unplaced,min_unplaced,max_unplaced,mean_time_sec,median_time_sec,std_time_sec,min_time_sec,max_time_sec
BR0,six_way,99,0.873531,0.883805,0.061095,0.702598,0.964151,0.0,0.0,0.0,0.0,0.0,6.69087,6.0824,3.146797,1.7726,15.1267,2.2768,2.1317,1.7498,0.0,8.4211,5.6248,4.3777,4.7273,0.34,22.7468,6.1951,5.4545,4.629,0.0,19.5455,19.2929,17.0,11.8453,4.0,73.0,0.034689,0.006736,0.089561,0.000745,0.684309
BR1,six_way,100,0.891999,0.898979,0.042744,0.714166,0.948193,0.0,0.0,0.0,0.0,0.0,4.972814,4.85895,1.498138,2.0797,10.4491,1.9028,1.7043,1.3613,0.0255,6.2154,3.1793,2.7818,2.3263,0.0194,8.6817,5.1007,5.0684,2.3236,0.4768,11.842,15.41,14.0,7.3815,4.0,42.0,0.152078,0.040218,0.78722,0.003968,7.877136
BR2,six_way,100,0.876533,0.884969,0.036485,0.778349,0.9453,0.0,0.0,0.0,0.0,0.0,4.709112,4.51435,1.139471,2.3054,7.6717,1.6521,1.4037,1.1136,0.0044,4.483,2.7212,2.3551,1.8884,0.0465,8.3191,5.5378,5.4809,1.8682,1.8033,11.0044,17.75,17.5,6.4092,4.0,42.0,0.136729,0.088972,0.141207,0.009058,0.892321
BR3,six_way,100,0.846683,0.858524,0.046232,0.717121,0.932984,0.0,0.0,0.0,0.0,0.0,4.977415,4.71625,1.249798,2.2004,8.7037,1.5847,1.3068,1.2572,0.0024,5.3305,2.2785,1.7994,1.8258,0.0281,9.7314,6.9191,6.7232,1.8849,3.0607,11.4374,20.46,19.0,7.845,7.0,55.0,0.254823,0.144996,0.28228,0.021583,1.296627
BR4,six_way,100,0.83335,0.845692,0.047305,0.619149,0.898926,0.0,0.0,0.0,0.0,0.0,5.261075,4.89265,1.466097,2.8074,9.6082,1.578,1.1181,1.3842,0.0074,5.6658,2.0723,1.628,1.6385,0.0597,6.8682,7.9289,7.9442,1.5385,4.1291,11.8774,20.61,19.0,7.1674,6.0,49.0,0.258156,0.182912,0.242479,0.019711,1.517064
BR5,six_way,100,0.821354,0.831818,0.043205,0.68315,0.908432,0.0,0.0,0.0,0.0,0.0,5.21508,4.96235,1.39549,2.4417,9.5537,1.4579,1.2285,1.191,0.0004,4.8141,2.1413,1.8704,1.8806,0.0049,9.9079,8.0519,7.7582,1.8726,4.6399,13.7653,21.46,20.0,7.1286,8.0,53.0,0.283151,0.214633,0.258038,0.056078,1.705949
BR6,six_way,100,0.804143,0.808895,0.038475,0.685731,0.868216,0.0,0.0,0.0,0.0,0.0,5.263476,4.90475,1.181368,3.1015,8.2728,1.1623,0.6519,1.1962,0.0093,4.7307,2.141,1.7065,1.6665,0.082,7.2699,8.9756,8.862,1.6248,4.5672,12.638,21.23,21.0,5.7011,6.0,36.0,0.323515,0.245638,0.241444,0.064725,1.720991
BR7,six_way,100,0.793089,0.801705,0.043482,0.64374,0.864239,0.0,0.0,0.0,0.0,0.0,5.321718,5.07335,1.306802,3.2044,9.2002,1.1077,0.7176,1.156,0.0015,5.6759,2.2961,2.0282,1.783,0.0221,6.9405,9.1164,8.9827,1.5354,5.0823,13.6239,22.0,21.5,6.0753,9.0,40.0,0.348652,0.292786,0.210593,0.072259,1.210701
BR8,six_way,100,0.777816,0.783875,0.036234,0.666769,0.84706,0.0,0.0,0.0,0.0,0.0,5.155923,5.06145,1.010232,3.4013,8.3764,0.77,0.4284,0.8612,0.0001,4.2059,2.3857,1.7983,1.8503,0.0325,6.2495,9.4734,9.3243,1.3074,5.5883,13.2068,23.17,23.0,5.4403,12.0,38.0,0.349083,0.316375,0.159404,0.102845,0.786674
BR9,six_way,100,0.758574,0.767328,0.036644,0.658707,0.813782,0.0,0.0,0.0,0.0,0.0,5.361263,5.0991,1.298225,3.4047,10.6693,0.8472,0.5732,0.9625,0.0034,5.9962,2.4945,2.0883,1.8955,0.0119,6.5563,9.7115,9.5004,1.3484,6.8841,13.5875,24.59,24.0,4.7484,14.0,35.0,0.357312,0.325903,0.141717,0.124636,0.919925
BR10,six_way,100,0.748075,0.7569,0.038314,0.620073,0.810363,0.0,0.0,0.0,0.0,0.0,5.45125,5.22895,1.096864,3.7082,10.6701,0.7434,0.4677,0.8993,0.0001,5.3821,2.573,2.3142,1.9157,0.0228,6.5158,10.1518,10.1023,1.3217,7.5306,13.3591,24.52,24.0,4.471,15.0,37.0,0.344394,0.332962,0.102893,0.153609,0.620615
BR11,six_way,1,0.793662,0.793662,0.0,0.793662,0.793662,0.0,0.0,0.0,0.0,0.0,5.1765,5.1765,0.0,5.1765,5.1765,0.0325,0.0325,0.0,0.0325,0.0325,4.7041,4.7041,0.0,4.7041,4.7041,9.0486,9.0486,0.0,9.0486,9.0486,22.0,22.0,0.0,22.0,22.0,0.355584,0.355584,0.0,0.355584,0.355584
