br_class,mode,case_id,z1,z2,z3,rdx,rdy,rdz,cgx,cgy,cgz,devx,devy,devz,placed,unplaced,elapsed,timestamp_utc,run_id
BR0,six_way,1,0.888978,0.0,5.51682,3.042,2.6499,4.0951,285.5413,113.4128,105.4954,8.9587,3.0872,4.5046,109,13,0.113026,2025-12-26T14:12:42.451578Z,20251226_141242.451578_seed0_six_way
BR0,six_way,2,0.891237,0.0,2.870937,0.0724,2.9887,4.4707,294.2868,113.0182,105.0822,0.2132,3.4818,4.9178,1046,123,42.085317,2025-12-26T14:13:24.549954Z,20251226_141324.549954_seed0_six_way
BR0,six_way,3,0.815051,0.0,10.591954,3.6239,10.0932,8.4953,283.8276,104.7414,100.6552,10.6724,11.7586,9.3448,116,25,0.134233,2025-12-26T14:13:24.704998Z,20251226_141324.704998_seed0_six_way
BR0,six_way,4,0.784035,0.0,11.835749,5.086,7.6071,10.6061,279.5217,107.6377,98.3333,14.9783,8.8623,11.6667,69,18,0.042631,2025-12-26T14:13:24.759124Z,20251226_141324.759124_seed0_six_way
BR0,six_way,5,0.779562,0.0,9.946194,2.3422,9.0332,11.2885,287.6024,105.9764,97.5827,6.8976,10.5236,12.4173,127,35,0.205202,2025-12-26T14:13:24.975410Z,20251226_141324.975410_seed0_six_way
BR0,six_way,6,0.689091,0.0,17.635417,6.441,10.743,19.4744,275.5312,103.9844,88.5781,18.9688,12.5156,21.4219,64,28,0.042104,2025-12-26T14:13:25.048725Z,20251226_141325.048725_seed0_six_way
BR0,six_way,7,0.724341,0.0,17.282609,7.4924,13.6593,12.6087,272.4348,100.587,96.1304,22.0652,15.913,13.8696,46,17,0.019589,2025-12-26T14:13:25.081268Z,20251226_141325.081268_seed0_six_way
BR0,six_way,8,0.755541,0.0,10.826087,2.3289,1.1896,22.0306,287.6413,115.1141,85.7663,6.8587,1.3859,24.2337,92,29,0.144052,2025-12-26T14:13:25.246242Z,20251226_141325.246242_seed0_six_way
BR0,six_way,9,0.696728,0.0,18.537736,9.8248,8.7942,14.94,265.566,106.2547,93.566,28.934,10.2453,16.434,53,22,0.041203,2025-12-26T14:13:25.297227Z,20251226_141325.297227_seed0_six_way
BR0,six_way,10,0.898577,0.0,5.761538,3.2859,2.5905,4.1725,284.8231,113.4821,105.4103,9.6769,3.0179,4.5897,195,21,0.574877,2025-12-26T14:13:25.900141Z,20251226_141325.900141_seed0_six_way
