br_class,mode,n,mean_Z1,median_Z1,std_Z1,min_Z1,max_Z1,mean_Z2,median_Z2,std_Z2,min_Z2,max_Z2,mean_Z3,median_Z3,std_Z3,min_Z3,max_Z3,mean_RDx,median_RDx,std_RDx,min_RDx,max_RDx,mean_RDy,median_RDy,std_RDy,min_RDy,max_RDy,mean_RDz,median_RDz,std_RDz,min_RDz,max_RDz,mean_unplaced,median_unplaced,std_unplaced,min_unplaced,max_unplaced,mean_time_sec,median_time_sec,std_time_sec,min_time_sec,max_time_sec
BR0,six_way,100,0.787794,0.796777,0.063978,0.643758,0.914991,0.0,0.0,0.0,0.0,0.0,10.58551,10.141036,3.795227,1.876461,18.666667,3.9874,3.465,2.3283,0.0724,10.8928,7.4367,6.6164,5.4711,0.1097,22.8183,10.3181,10.4899,5.5381,0.0,23.5227,38.23,28.5,29.7491,9.0,187.0,1.265962,0.150166,4.703067,0.008653,42.085317
BR0,C1_respect,100,0.787794,0.796777,0.063978,0.643758,0.914991,0.0,0.0,0.0,0.0,0.0,10.58551,10.141036,3.795227,1.876461,18.666667,3.9874,3.465,2.3283,0.0724,10.8928,7.4367,6.6164,5.4711,0.1097,22.8183,10.3181,10.4899,5.5381,0.0,23.5227,38.23,28.5,29.7491,9.0,187.0,1.249551,0.152448,4.658021,0.007711,41.703253
BR1,six_way,100,0.797569,0.80506,0.051608,0.670661,0.891701,0.0,0.0,0.0,0.0,0.0,8.421304,8.105608,2.68436,3.690844,15.933887,3.54,3.362,2.0639,0.0001,9.7709,4.731,4.0173,3.1479,0.0751,15.6804,8.4792,8.2838,3.208,2.7827,17.8468,44.79,39.0,23.3252,13.0,162.0,0.28257,0.140926,0.424297,0.030234,3.050509
BR1,C1_respect,100,0.797569,0.80506,0.051608,0.670661,0.891701,0.0,0.0,0.0,0.0,0.0,8.421304,8.105608,2.68436,3.690844,15.933887,3.54,3.362,2.0639,0.0001,9.7709,4.731,4.0173,3.1479,0.0751,15.6804,8.4792,8.2838,3.208,2.7827,17.8468,44.79,39.0,23.3252,13.0,162.0,0.285549,0.139221,0.426711,0.033092,3.022247
BR2,six_way,100,0.799814,0.803225,0.04286,0.694725,0.896065,0.0,0.0,0.0,0.0,0.0,7.601595,7.220872,2.457261,2.296977,14.884056,3.0885,3.0156,1.9234,0.0052,8.4086,4.2464,3.9607,2.6303,0.0156,13.3635,7.9655,7.5219,2.1388,2.6159,15.5866,41.06,37.0,16.3669,11.0,89.0,0.233809,0.186968,0.172107,0.037379,0.94704
BR2,C1_respect,100,0.799814,0.803225,0.04286,0.694725,0.896065,0.0,0.0,0.0,0.0,0.0,7.601595,7.220872,2.457261,2.296977,14.884056,3.0885,3.0156,1.9234,0.0052,8.4086,4.2464,3.9607,2.6303,0.0156,13.3635,7.9655,7.5219,2.1388,2.6159,15.5866,41.06,37.0,16.3669,11.0,89.0,0.239104,0.192117,0.187267,0.045238,1.245845
BR3,six_way,100,0.801224,0.800809,0.03732,0.694818,0.869036,0.0,0.0,0.0,0.0,0.0,7.58123,7.348523,2.195429,2.181691,14.947306,3.6467,3.4777,1.7498,0.0406,9.7312,3.6052,3.1423,2.185,0.0413,9.0872,7.0948,6.9813,1.8544,2.2827,11.7699,42.33,39.0,15.6438,12.0,93.0,0.252117,0.185478,0.172804,0.047444,1.071329
BR3,C1_respect,100,0.801224,0.800809,0.03732,0.694818,0.869036,0.0,0.0,0.0,0.0,0.0,7.58123,7.348523,2.195429,2.181691,14.947306,3.6467,3.4777,1.7498,0.0406,9.7312,3.6052,3.1423,2.185,0.0413,9.0872,7.0948,6.9813,1.8544,2.2827,11.7699,42.33,39.0,15.6438,12.0,93.0,0.220067,0.176963,0.139942,0.045449,0.941631
BR4,six_way,100,0.804834,0.807114,0.033294,0.716923,0.866345,0.0,0.0,0.0,0.0,0.0,7.074707,6.716812,2.106715,2.391788,14.927195,3.1426,2.8934,1.7323,0.0053,8.7948,3.3558,3.0966,2.0507,0.0106,8.3456,7.327,7.4139,1.5509,4.0236,11.5386,41.3,41.0,11.8658,15.0,70.0,0.230652,0.20385,0.14948,0.059183,1.105074
BR4,C1_respect,100,0.804834,0.807114,0.033294,0.716923,0.866345,0.0,0.0,0.0,0.0,0.0,7.074707,6.716812,2.106715,2.391788,14.927195,3.1426,2.8934,1.7323,0.0053,8.7948,3.3558,3.0966,2.0507,0.0106,8.3456,7.327,7.4139,1.5509,4.0236,11.5386,41.3,41.0,11.8658,15.0,70.0,0.235847,0.207571,0.154365,0.058299,1.150897
BR5,six_way,100,0.803932,0.804639,0.034683,0.672539,0.868962,0.0,0.0,0.0,0.0,0.0,7.192364,7.147412,1.881508,3.449506,13.364748,3.3743,3.4192,1.6313,0.0204,8.2069,3.1161,3.1003,1.6814,0.0079,7.2709,7.2814,7.2278,1.5332,3.9544,11.4491,41.75,41.0,11.219,19.0,79.0,0.237715,0.207561,0.12621,0.076011,0.732553
BR5,C1_respect,100,0.803932,0.804639,0.034683,0.672539,0.868962,0.0,0.0,0.0,0.0,0.0,7.192364,7.147412,1.881508,3.449506,13.364748,3.3743,3.4192,1.6313,0.0204,8.2069,3.1161,3.1003,1.6814,0.0079,7.2709,7.2814,7.2278,1.5332,3.9544,11.4491,41.75,41.0,11.219,19.0,79.0,0.244475,0.211069,0.13575,0.074569,0.834945
