br_class,mode,n,mean_Z1,median_Z1,std_Z1,min_Z1,max_Z1,mean_Z2,median_Z2,std_Z2,min_Z2,max_Z2,mean_Z3,median_Z3,std_Z3,min_Z3,max_Z3,mean_RDx,median_RDx,std_RDx,min_RDx,max_RDx,mean_RDy,median_RDy,std_RDy,min_RDy,max_RDy,mean_RDz,median_RDz,std_RDz,min_RDz,max_RDz,mean_unplaced,median_unplaced,std_unplaced,min_unplaced,max_unplaced,mean_time_sec,median_time_sec,std_time_sec,min_time_sec,max_time_sec
BR0,six_way,100,0.812513,0.808822,0.081771,0.654311,0.949015,0.0,0.0,0.0,0.0,0.0,9.72169,9.688172,4.243487,2.239583,18.666667,3.1239,2.6696,2.3092,0.0822,10.8659,7.9317,7.1754,5.2852,0.053,22.7468,9.7497,9.8804,6.0853,0.0,23.5227,31.52,24.5,23.5704,4.0,125.0,0.525572,0.07203,1.851455,0.004354,15.873789
BR0,C1_respect,100,0.795528,0.797226,0.088891,0.607814,0.949015,0.0,0.0,0.0,0.0,0.0,10.729194,10.104776,4.751961,2.239583,26.333333,3.7122,2.8914,2.8656,0.0822,15.1104,9.5991,7.2961,7.1336,0.1951,31.3305,9.1567,9.0909,6.0857,0.0,22.2727,34.33,28.0,23.625,4.0,125.0,0.516354,0.061725,1.838793,0.004662,15.652311
BR1,six_way,100,0.805676,0.812512,0.059062,0.646692,0.923011,0.0,0.0,0.0,0.0,0.0,11.660953,11.187406,4.630721,3.641468,26.445974,5.6604,5.1405,3.5475,0.0259,15.8573,6.7623,6.4245,3.3773,0.033,15.998,9.4861,9.3812,3.5753,3.0228,19.2847,28.22,23.0,17.6839,9.0,114.0,0.2358,0.115361,0.367547,0.019085,2.415562
BR1,C1_respect,100,0.783649,0.79676,0.06983,0.572356,0.924576,0.0,0.0,0.0,0.0,0.0,13.347735,12.347286,5.564186,3.392654,34.342302,6.8777,5.9901,4.2174,0.2621,22.1588,8.1419,7.4791,4.1805,0.5461,20.7679,9.3665,9.3011,3.7466,3.0848,20.5887,31.04,27.5,16.9866,9.0,117.0,0.204525,0.089001,0.340439,0.014795,2.304116
BR2,six_way,100,0.787538,0.787857,0.048842,0.663371,0.879289,0.0,0.0,0.0,0.0,0.0,12.51225,11.680717,4.2671,3.813085,27.953523,6.3609,5.8984,3.9444,0.0266,20.7022,6.8798,6.6755,2.6072,0.2478,12.7613,9.8082,9.2313,2.7564,5.3516,19.2977,24.9,23.0,10.9724,9.0,60.0,0.222882,0.179054,0.206176,0.037824,1.745226
BR2,C1_respect,100,0.768004,0.773011,0.054599,0.638415,0.870608,0.0,0.0,0.0,0.0,0.0,13.943361,13.456748,4.747642,3.964689,26.675508,7.6041,7.2205,4.4562,0.2573,20.8244,7.662,7.5735,2.8863,0.1212,14.0428,9.5542,9.7066,2.788,3.9884,16.6881,27.6,26.0,11.2967,9.0,58.0,0.180881,0.135002,0.177332,0.033127,1.515356
BR3,six_way,100,0.778638,0.778479,0.049812,0.596859,0.887084,0.0,0.0,0.0,0.0,0.0,11.678819,11.311057,3.851021,4.457283,23.474867,5.6812,5.3088,3.413,0.0128,16.5092,6.4836,6.2268,2.7798,0.2828,14.6465,9.7746,9.4799,2.2328,4.736,16.1061,23.82,22.5,9.8159,8.0,51.0,0.282277,0.220239,0.219916,0.063715,1.58304
BR3,C1_respect,100,0.763811,0.768136,0.049378,0.586865,0.868718,0.0,0.0,0.0,0.0,0.0,12.453367,11.712681,4.07976,4.394069,23.325212,6.3848,6.1298,3.6552,0.0201,17.5478,6.9064,6.7025,2.9201,0.2828,14.4192,9.5553,9.2339,2.3059,5.1475,15.4648,25.75,23.5,9.7415,12.0,54.0,0.229734,0.181707,0.175113,0.041002,1.249398
BR4,six_way,100,0.765795,0.770078,0.047601,0.605525,0.856985,0.0,0.0,0.0,0.0,0.0,12.072404,11.805194,3.869429,5.307991,23.963471,5.7681,5.5975,3.3619,0.1565,16.4005,6.8302,6.458,2.6773,2.1897,13.5617,10.2482,10.4064,2.1214,5.5438,16.9936,24.8,24.0,9.9707,9.0,64.0,0.298666,0.253489,0.192183,0.071414,1.217037
BR4,C1_respect,100,0.747592,0.751459,0.063848,0.333094,0.854533,0.0,0.0,0.0,0.0,0.0,12.812355,12.518968,4.59651,4.490053,36.555588,6.5429,6.2165,3.9792,0.3279,27.2695,7.0919,6.8833,2.7031,1.0327,13.5983,9.9148,9.7087,2.248,5.6676,16.6762,26.44,24.0,9.9131,9.0,57.0,0.237128,0.21792,0.14923,0.046609,1.004432
