br_class,mode,case_id,z1,z2,z3,rdx,rdy,rdz,cgx,cgy,cgz,devx,devy,devz,placed,unplaced,elapsed,timestamp_utc,run_id
BR0,six_way,1,0.888978,13.0,7.608563,4.7678,2.3349,5.5129,280.4587,113.7798,103.9358,14.0413,2.7202,6.0642,109,13,0.051105,2025-12-25T16:22:52.575435Z,20251225_162252.575435_seed0_six_way
BR0,six_way,2,0.920206,89.0,3.166667,0.1698,3.4335,4.5455,294.0,112.5,105.0,0.5,4.0,5.0,1080,89,15.250985,2025-12-25T16:23:07.860501Z,20251225_162307.860501_seed0_six_way
BR0,six_way,3,0.843156,21.0,8.266667,1.1885,11.9313,6.7273,291.0,102.6,102.6,3.5,13.9,7.4,120,21,0.076989,2025-12-25T16:23:07.956237Z,20251225_162307.956237_seed0_six_way
BR0,six_way,4,0.795398,17.0,11.0,4.0747,7.7253,10.9091,282.5,107.5,98.0,12.0,9.0,12.0,70,17,0.019705,2025-12-25T16:23:07.987897Z,20251225_162307.987897_seed0_six_way
BR0,six_way,5,0.810254,30.0,8.459596,1.3737,7.4587,11.4945,290.4545,107.8106,97.3561,4.0455,8.6894,12.6439,132,30,0.097638,2025-12-25T16:23:08.105075Z,20251225_162308.105075_seed0_six_way
BR0,six_way,6,0.689091,28.0,17.625,6.441,10.6491,19.5455,275.5312,104.0938,88.5,18.9688,12.4062,21.5,64,28,0.020258,2025-12-25T16:23:08.136665Z,20251225_162308.136665_seed0_six_way
BR0,six_way,7,0.724341,17.0,17.862319,7.6622,14.7229,12.6087,271.9348,99.3478,96.1304,22.5652,17.1522,13.8696,46,17,0.010576,2025-12-25T16:23:08.175856Z,20251225_162308.175856_seed0_six_way
BR0,six_way,8,0.763753,28.0,9.709677,1.287,0.7199,22.2727,290.7097,115.6613,85.5,3.7903,0.8387,24.5,93,28,0.053744,2025-12-25T16:23:08.240419Z,20251225_162308.240419_seed0_six_way
BR0,six_way,9,0.709873,21.0,17.166667,8.3192,9.8712,14.0909,270.0,105.0,94.5,24.5,11.5,15.5,54,21,0.01498,2025-12-25T16:23:08.266592Z,20251225_162308.266592_seed0_six_way
BR0,six_way,10,0.926225,15.0,5.460199,3.2689,3.1708,2.7815,284.8731,112.806,106.9403,9.6269,3.694,3.0597,201,15,0.234289,2025-12-25T16:23:08.511453Z,20251225_162308.511453_seed0_six_way
BR0,six_way,11,0.678173,33.0,13.083333,0.2759,17.1137,16.8182,295.3125,96.5625,91.5,0.8125,19.9375,18.5,72,33,0.033132,2025-12-25T16:23:08.572850Z,20251225_162308.572850_seed0_six_way
BR0,six_way,12,0.688709,21.0,14.916667,3.2258,8.0472,23.5227,285.0,107.125,84.125,9.5,9.375,25.875,48,21,0.014732,2025-12-25T16:23:08.615962Z,20251225_162308.615962_seed0_six_way
BR0,six_way,13,0.818438,114.0,9.0,2.8862,7.2961,9.0909,286.0,108.0,100.0,8.5,8.5,10.0,528,114,2.559244,2025-12-25T16:23:11.186930Z,20251225_162311.186930_seed0_six_way
BR0,six_way,14,0.898158,29.0,6.699005,3.2689,5.9381,3.2293,284.8731,109.5821,106.4478,9.6269,6.9179,3.5522,268,29,0.495117,2025-12-25T16:23:11.696195Z,20251225_162311.696195_seed0_six_way
BR0,six_way,15,0.781859,39.0,9.775862,1.3407,6.7634,15.9091,290.5517,108.6207,92.5,3.9483,7.8793,17.5,145,39,0.122356,2025-12-25T16:23:11.842745Z,20251225_162311.842745_seed0_six_way
BR0,six_way,16,0.722075,123.0,14.666667,5.0934,14.1631,11.3636,279.5,100.0,97.5,15.0,16.5,12.5,325,123,0.959033,2025-12-25T16:23:12.813732Z,20251225_162312.813732_seed0_six_way
BR0,six_way,17,0.916117,19.0,4.833333,2.2071,1.7167,5.4545,288.0,114.5,104.0,6.5,2.0,6.0,224,19,0.324864,2025-12-25T16:23:13.151054Z,20251225_162313.151054_seed0_six_way
BR0,six_way,18,0.875274,21.0,6.80303,2.8399,6.0476,4.5455,286.1364,109.4545,105.0,8.3636,7.0455,5.0,154,21,0.112311,2025-12-25T16:23:13.275178Z,20251225_162313.275178_seed0_six_way
BR0,six_way,19,0.906792,38.0,4.053846,0.6791,3.3873,5.6503,292.5,112.5538,103.7846,2.0,3.9462,6.2154,390,38,1.11057,2025-12-25T16:23:14.397862Z,20251225_162314.397862_seed0_six_way
BR0,six_way,20,0.88167,7.0,5.166667,1.1885,0.8584,10.0,291.0,115.5,99.0,3.5,1.0,11.0,54,7,0.018424,2025-12-25T16:23:14.450624Z,20251225_162314.450624_seed0_six_way
BR0,six_way,21,0.725219,11.0,15.833333,7.4703,20.1717,1.8182,272.5,93.0,108.0,22.0,23.5,2.0,30,11,0.00458,2025-12-25T16:23:14.487641Z,20251225_162314.487641_seed0_six_way
BR0,six_way,22,0.735768,22.0,14.416667,3.1409,15.8798,14.0909,285.25,98.0,94.5,9.25,18.5,15.5,64,22,0.020621,2025-12-25T16:23:14.528119Z,20251225_162314.528119_seed0_six_way
BR0,six_way,23,0.870778,24.0,6.416667,0.1698,5.6867,11.0227,294.0,109.875,97.875,0.5,6.625,12.125,168,24,0.176512,2025-12-25T16:23:14.714939Z,20251225_162314.714939_seed0_six_way
