br_class,mode,n,mean_Z1,median_Z1,mean_Z3,median_Z3,mean_RDx,median_RDx,mean_RDy,median_RDy,mean_RDz,median_RDz,mean_unplaced,median_unplaced,mean_time_sec,median_time_sec
BR0,six_way,100,0.812513,0.808822,9.72169,9.688172,3.1239,2.6696,7.9317,7.1754,9.7497,9.8804,31.52,24.5,0.517798,0.073027
BR0,C1_respect,100,0.795446,0.797226,10.741593,10.104776,3.7196,2.8914,9.6062,7.2961,9.1632,9.0909,34.34,28.0,0.522263,0.059504
BR1,six_way,100,0.800492,0.811235,11.899077,11.391081,5.6788,5.2012,6.9228,6.963,9.9164,10.1065,29.02,24.0,0.2076,0.108492
BR1,C1_respect,100,0.78323,0.788898,13.199506,12.354378,6.6297,6.0171,8.1666,7.4524,9.5998,9.4144,31.25,29.0,0.18285,0.086713
BR2,six_way,100,0.783897,0.784006,12.152824,11.812378,5.6309,5.2539,7.1399,7.1387,10.5069,10.2525,25.22,24.0,0.205524,0.157199
BR2,C1_respect,100,0.763696,0.770011,13.762111,13.228534,6.987,6.4303,8.1612,7.9918,10.1834,9.9795,27.71,25.0,0.166475,0.11786
BR3,six_way,100,0.771946,0.779332,12.320362,11.890429,5.6392,5.1121,6.957,6.7807,11.135,11.2178,24.88,22.0,0.250449,0.202046
BR3,C1_respect,100,0.752295,0.75628,13.149554,12.557552,6.3521,6.3812,7.6029,7.2681,10.8038,10.9133,27.0,25.0,0.19655,0.16504
BR4,six_way,100,0.760239,0.765248,12.58497,11.929897,5.7925,5.3951,6.9721,7.2073,11.4303,11.3057,25.54,24.0,0.257401,0.218191
BR4,C1_respect,100,0.735084,0.740312,13.690516,13.63707,6.6503,6.4334,7.6613,8.1484,11.419,10.998,27.49,27.0,0.201129,0.17948
BR5,six_way,100,0.751406,0.751313,12.162165,11.923179,5.2884,5.192,6.6605,6.8431,11.957,11.8647,25.87,25.0,0.279241,0.244931
BR5,C1_respect,100,0.73599,0.737731,12.617006,12.115524,5.8876,5.6394,6.7113,7.0792,11.5394,11.2116,27.77,28.0,0.209773,0.180575
BR6,six_way,100,0.740101,0.742279,12.571204,12.270955,5.2587,5.0472,6.8635,6.6096,12.9372,12.8854,26.16,26.0,0.287008,0.259551
BR6,C1_respect,100,0.716363,0.716368,13.521091,13.73749,6.1305,6.0096,7.338,7.3449,12.6912,12.4916,28.58,28.0,0.222359,0.20327
BR7,six_way,100,0.717009,0.719772,12.592194,12.655363,5.0153,4.8843,6.7917,6.7504,13.722,13.6984,27.8,27.0,0.304365,0.276964
BR7,C1_respect,100,0.692292,0.698664,14.044108,13.713615,5.9209,5.8556,7.9812,8.1783,13.9975,13.7918,31.2,31.0,0.228211,0.205107
BR8,six_way,100,0.697983,0.699896,12.223864,12.047482,4.1028,3.9663,7.07,7.0733,14.8658,14.6779,30.08,29.0,0.335122,0.327813
BR8,C1_respect,100,0.674522,0.679175,13.005101,12.738641,4.6951,4.3309,7.3127,7.2358,15.1535,14.8937,33.37,33.0,0.252368,0.242078
BR9,six_way,100,0.684556,0.685326,12.369957,11.98722,4.2575,3.9816,6.3615,6.2791,15.6004,15.3194,31.15,30.0,0.338147,0.309111
BR9,C1_respect,100,0.651296,0.653377,13.872989,13.552712,4.9579,4.4568,7.6409,7.6306,16.4694,16.3446,36.1,35.5,0.242541,0.229084
BR10,six_way,100,0.677858,0.681687,11.807198,11.868377,3.6757,3.5311,6.352,6.2247,15.6331,15.5193,32.44,32.0,0.350226,0.327164
BR10,C1_respect,100,0.640125,0.641934,13.542747,13.290282,4.494,4.3731,7.2815,6.8802,17.1914,16.9336,37.13,36.0,0.259601,0.248339
BR11,six_way,100,0.670201,0.672771,12.34739,12.304526,4.0535,3.8997,6.069,6.187,16.3947,16.4094,32.54,32.0,0.367275,0.350523
BR11,C1_respect,100,0.620683,0.619565,14.266019,13.985298,4.7512,4.6262,7.5107,7.0952,18.2326,18.3806,39.12,39.0,0.265288,0.26332
BR12,six_way,100,0.661086,0.662926,12.388904,12.305832,4.0978,3.8804,5.8371,5.6799,16.6348,16.687,33.54,33.0,0.371512,0.365332
BR12,C1_respect,100,0.605453,0.605363,15.186468,15.075449,5.3523,5.3273,7.7925,7.7326,18.8353,18.8825,40.72,41.0,0.274698,0.269325
BR13,six_way,100,0.652202,0.653664,12.003853,12.12389,3.5831,3.6477,5.8767,6.0425,16.9208,16.8618,34.49,34.0,0.379726,0.37017
BR13,C1_respect,100,0.589973,0.590527,14.85005,14.659549,4.7173,4.5031,7.7438,7.7965,19.6693,19.7518,42.38,42.5,0.291583,0.285785
BR14,six_way,100,0.644445,0.646088,12.44506,12.768134,3.856,3.6742,5.7844,5.7399,17.4913,17.5287,34.93,34.0,0.380957,0.362944
BR14,C1_respect,100,0.57337,0.575295,14.95818,14.647364,4.4568,4.4326,7.5838,7.6227,20.831,20.8379,43.9,43.0,0.281527,0.266485
BR15,six_way,100,0.637012,0.639614,12.863358,12.958545,4.0829,4.0862,5.8745,5.9585,17.9293,17.7944,35.31,34.5,0.397196,0.37825
BR15,C1_respect,100,0.559065,0.557783,16.547384,16.14673,5.5108,5.2839,8.2236,8.1495,21.6657,21.5628,45.08,45.0,0.302791,0.291648
